[2026-06-09 15:10:57.671][INF][Px24456][Tx46046] load resource\template\infrast
[2026-06-09 15:10:57.673][TRC][Px24456][Tx46046] asst::TemplResource::load | leave, 1 ms
[2026-06-09 15:10:57.673][TRC][Px24456][Tx46046] asst::ItemConfig :: asst::AbstractConfig::load | enter
[2026-06-09 15:10:57.675][TRC][Px24456][Tx46046] asst::ItemConfig::parse | enter
[2026-06-09 15:10:57.675][TRC][Px24456][Tx46046] asst::ItemConfig::parse | leave, 0 ms
[2026-06-09 15:10:57.676][TRC][Px24456][Tx46046] asst::ItemConfig :: asst::AbstractConfig::load | leave, 2 ms
[2026-06-09 15:10:57.676][TRC][Px24456][Tx46046] asst::TemplResource::load | enter
[2026-06-09 15:10:57.676][INF][Px24456][Tx46046] load resource\template\items
[2026-06-09 15:10:57.678][TRC][Px24456][Tx46046] asst::TemplResource::load | leave, 2 ms
[2026-06-09 15:10:57.678][TRC][Px24456][Tx46046] asst::StageDropsConfig :: asst::AbstractConfig::load | enter
[2026-06-09 15:10:57.697][TRC][Px24456][Tx46046] asst::StageDropsConfig::parse | enter
[2026-06-09 15:10:57.705][TRC][Px24456][Tx46046] asst::StageDropsConfig::parse | leave, 7 ms
[2026-06-09 15:10:57.708][TRC][Px24456][Tx46046] asst::StageDropsConfig :: asst::AbstractConfig::load | leave, 28 ms
[2026-06-09 15:10:57.708][TRC][Px24456][Tx46046] asst::TilePack :: asst::AbstractConfig::load | enter
[2026-06-09 15:10:57.721][TRC][Px24456][Tx46046] asst::TilePack::parse | enter
[2026-06-09 15:10:57.726][TRC][Px24456][Tx46046] asst::TilePack::parse | leave, 5 ms
[2026-06-09 15:10:57.729][TRC][Px24456][Tx46046] asst::TilePack :: asst::AbstractConfig::load | leave, 22 ms
[2026-06-09 15:10:57.731][TRC][Px24456][Tx46046] asst::RoguelikeCopilotConfig::load | enter
[2026-06-09 15:10:58.116][TRC][Px24456][Tx46046] asst::RoguelikeCopilotConfig::load | leave, 385 ms
[2026-06-09 15:10:58.116][TRC][Px24456][Tx46046] asst::RoguelikeCopilotConfig::load | enter
