[2026-06-08 17:11:27.801][INF][Px18108][Tx2126] load resource\template\infrast
[2026-06-08 17:11:27.802][TRC][Px18108][Tx2126] asst::TemplResource::load | leave, 1 ms
[2026-06-08 17:11:27.803][TRC][Px18108][Tx2126] asst::ItemConfig :: asst::AbstractConfig::load | enter
[2026-06-08 17:11:27.805][TRC][Px18108][Tx2126] asst::ItemConfig::parse | enter
[2026-06-08 17:11:27.805][TRC][Px18108][Tx2126] asst::ItemConfig::parse | leave, 0 ms
[2026-06-08 17:11:27.806][TRC][Px18108][Tx2126] asst::ItemConfig :: asst::AbstractConfig::load | leave, 2 ms
[2026-06-08 17:11:27.806][TRC][Px18108][Tx2126] asst::TemplResource::load | enter
[2026-06-08 17:11:27.806][INF][Px18108][Tx2126] load resource\template\items
[2026-06-08 17:11:27.809][TRC][Px18108][Tx2126] asst::TemplResource::load | leave, 2 ms
[2026-06-08 17:11:27.809][TRC][Px18108][Tx2126] asst::StageDropsConfig :: asst::AbstractConfig::load | enter
[2026-06-08 17:11:27.828][TRC][Px18108][Tx2126] asst::StageDropsConfig::parse | enter
[2026-06-08 17:11:27.835][TRC][Px18108][Tx2126] asst::StageDropsConfig::parse | leave, 6 ms
[2026-06-08 17:11:27.838][TRC][Px18108][Tx2126] asst::StageDropsConfig :: asst::AbstractConfig::load | leave, 28 ms
[2026-06-08 17:11:27.838][TRC][Px18108][Tx2126] asst::TilePack :: asst::AbstractConfig::load | enter
[2026-06-08 17:11:27.855][TRC][Px18108][Tx2126] asst::TilePack::parse | enter
[2026-06-08 17:11:27.861][TRC][Px18108][Tx2126] asst::TilePack::parse | leave, 7 ms
[2026-06-08 17:11:27.866][TRC][Px18108][Tx2126] asst::TilePack :: asst::AbstractConfig::load | leave, 28 ms
[2026-06-08 17:11:27.866][TRC][Px18108][Tx2126] asst::RoguelikeCopilotConfig::load | enter
[2026-06-08 17:11:28.064][TRC][Px18108][Tx2126] asst::RoguelikeCopilotConfig::load | leave, 198 ms
[2026-06-08 17:11:28.065][TRC][Px18108][Tx2126] asst::RoguelikeCopilotConfig::load | enter
[2026-06-08 17:11:28.260][TRC][Px18108][Tx2126] asst::RoguelikeCopilotConfig::load | leave, 195 ms
[2026-06-08 17:11:28.260][TRC][Px18108][Tx2126] asst::RoguelikeCopilotConfig::load | enter
[2026-06-08 17:11:28.512][TRC][Px18108][Tx2126] asst::RoguelikeCopilotConfig::load | leave, 251 ms
[2026-06-08 17:11:28.512][TRC][Px18108][Tx2126] asst::RoguelikeCopilotConfig::load | enter
[2026-06-08 17:11:28.610][TRC][Px18108][Tx2126] asst::RoguelikeCopilotConfig::load | leave, 97 ms
[2026-06-08 17:11:28.610][TRC][Px18108][Tx2126] asst::RoguelikeCopilotConfig::load | enter
[2026-06-08 17:11:28.745][TRC][Px18108][Tx2126] asst::RoguelikeCopilotConfig::load | leave, 135 ms
[2026-06-08 17:11:28.745][TRC][Px18108][Tx2126] asst::RoguelikeRecruitConfig :: asst::AbstractConfig::load | enter
[2026-06-08 17:11:28.760][TRC][Px18108][Tx2126] asst::RoguelikeRecruitConfig::parse | enter
[2026-06-08 17:11:28.765][TRC][Px18108][Tx2126] asst::RoguelikeRecruitConfig::parse | leave, 4 ms
[2026-06-08 17:11:28.765][TRC][Px18108][Tx2126] asst::RoguelikeRecruitConfig :: asst::AbstractConfig::load | leave, 19 ms
[2026-06-08 17:11:28.766][TRC][Px18108][Tx2126] asst::RoguelikeRecruitConfig :: asst::AbstractConfig::load | enter
[2026-06-08 17:11:28.777][TRC][Px18108][Tx2126] asst::RoguelikeRecruitConfig::parse | enter
[2026-06-08 17:11:28.779][TRC][Px18108][Tx2126] asst::RoguelikeRecruitConfig::parse | leave, 1 ms
[2026-06-08 17:11:28.779][TRC][Px18108][Tx2126] asst::RoguelikeRecruitConfig :: asst::AbstractConfig::load | leave, 13 ms
[2026-06-08 17:11:28.779][TRC][Px18108][Tx2126] asst::RoguelikeRecruitConfig :: asst::AbstractConfig::load | enter
[2026-06-08 17:11:28.860][TRC][Px18108][Tx2126] asst::RoguelikeRecruitConfig::parse | enter
[2026-06-08 17:11:28.863][TRC][Px18108][Tx2126] asst::RoguelikeRecruitConfig::parse | leave, 4 ms
[2026-06-08 17:11:28.864][TRC][Px18108][Tx2126] asst::RoguelikeRecruitConfig :: asst::AbstractConfig::load | leave, 84 ms
[2026-06-08 17:11:28.864][TRC][Px18108][Tx2126] asst::RoguelikeRecruitConfig :: asst::AbstractConfig::load | enter
[2026-06-08 17:11:28.877][TRC][Px18108][Tx2126] asst::RoguelikeRecruitConfig::parse | enter
[2026-06-08 17:11:28.882][TRC][Px18108][Tx2126] asst::RoguelikeRecruitConfig::parse | leave, 4 ms
[2026-06-08 17:11:28.882][TRC][Px18108][Tx2126] asst::RoguelikeRecruitConfig :: asst::AbstractConfig::load | leave, 19 ms
[2026-06-08 17:11:28.882][TRC][Px18108][Tx2126] asst::RoguelikeRecruitConfig :: asst::AbstractConfig::load | enter
[2026-06-08 17:11:28.886][TRC][Px18108][Tx2126] asst::RoguelikeRecruitConfig::parse | enter
[2026-06-08 17:11:28.890][TRC][Px18108][Tx2126] asst::RoguelikeRecruitConfig::parse | leave, 4 ms
[2026-06-08 17:11:28.891][TRC][Px18108][Tx2126] asst::RoguelikeRecruitConfig :: asst::AbstractConfig::load | leave, 7 ms
[2026-06-08 17:11:28.891][TRC][Px18108][Tx2126] asst::RoguelikeShoppingConfig :: asst::AbstractConfig::load | enter
[2026-06-08 17:11:28.901][TRC][Px18108][Tx2126] asst::RoguelikeShoppingConfig::parse | enter
[2026-06-08 17:11:28.901][TRC][Px18108][Tx2126] asst::RoguelikeShoppingConfig::parse | leave, 0 ms
[2026-06-08 17:11:28.901][TRC][Px18108][Tx2126] asst::RoguelikeShoppingConfig :: asst::AbstractConfig::load | leave, 10 ms
[2026-06-08 17:11:28.902][TRC][Px18108][Tx2126] asst::RoguelikeShoppingConfig :: asst::AbstractConfig::load | enter
[2026-06-08 17:11:28.911][TRC][Px18108][Tx2126] asst::RoguelikeShoppingConfig::parse | enter
[2026-06-08 17:11:28.911][TRC][Px18108][Tx2126] asst::RoguelikeShoppingConfig::parse | leave, 0 ms
[2026-06-08 17:11:28.912][TRC][Px18108][Tx2126] asst::RoguelikeShoppingConfig :: asst::AbstractConfig::load | leave, 10 ms
[2026-06-08 17:11:28.912][TRC][Px18108][Tx2126] asst::RoguelikeShoppingConfig :: asst::AbstractConfig::load | enter
[2026-06-08 17:11:28.922][TRC][Px18108][Tx2126] asst::RoguelikeShoppingConfig::parse | enter
[2026-06-08 17:11:28.923][TRC][Px18108][Tx2126] asst::RoguelikeShoppingConfig::parse | leave, 0 ms
[2026-06-08 17:11:28.923][TRC][Px18108][Tx2126] asst::RoguelikeShoppingConfig :: asst::AbstractConfig::load | leave, 10 ms
